lncORF ID,lncORF transcript,,,,Variant,,Trait type,-log10(GWAS P value)
OsLncORF00104,Chr1,2713996,2718407,-,Chr1,2716541,inflorescence axis length,3.67985
OsLncORF00104,Chr1,2713996,2718407,-,Chr1,2716863,inflorescence axis length,3.42251
OsLncORF00104,Chr1,2713996,2718407,-,Chr1,2717831,inflorescence axis length,3.67985
OsLncORF00105,Chr1,2713996,2718407,-,Chr1,2716541,inflorescence axis length,3.67985
OsLncORF00105,Chr1,2713996,2718407,-,Chr1,2716863,inflorescence axis length,3.42251
OsLncORF00105,Chr1,2713996,2718407,-,Chr1,2717831,inflorescence axis length,3.67985
OsLncORF00109,Chr1,3103437,3105272,+,Chr1,3103802,filled grain number,4.05651
OsLncORF00109,Chr1,3103437,3105272,+,Chr1,3104550,filled grain number,4.08884
OsLncORF00117,Chr1,3340293,3343014,-,Chr1,3341207,relative root dry weight,2.94692
OsLncORF00118,Chr1,3340293,3343014,-,Chr1,3341207,relative root dry weight,2.94692
OsLncORF00119,Chr1,3340293,3343014,-,Chr1,3341207,relative root dry weight,2.94692
OsLncORF00120,Chr1,3400974,3403171,-,Chr1,3401068,stem thickness,10.8447
OsLncORF00120,Chr1,3400974,3403171,-,Chr1,3401068,stem thickness,12.1463
OsLncORF00120,Chr1,3400974,3403171,-,Chr1,3401290,stem thickness,11.9957
OsLncORF00120,Chr1,3400974,3403171,-,Chr1,3401290,stem thickness,12.9136
OsLncORF00120,Chr1,3400974,3403171,-,Chr1,3402333,stem thickness,11.9957
OsLncORF00120,Chr1,3400974,3403171,-,Chr1,3402333,stem thickness,12.9136
OsLncORF00120,Chr1,3400974,3403171,-,Chr1,3402950,stem thickness,11.9957
OsLncORF00120,Chr1,3400974,3403171,-,Chr1,3402950,stem thickness,12.9136
OsLncORF00122,Chr1,3452953,3454789,+,Chr1,3453461,stem thickness,11.9957
OsLncORF00122,Chr1,3452953,3454789,+,Chr1,3453461,stem thickness,12.9136
OsLncORF00122,Chr1,3452953,3454789,+,Chr1,3453468,stem thickness,11.9957
OsLncORF00122,Chr1,3452953,3454789,+,Chr1,3453468,stem thickness,12.9136
OsLncORF00122,Chr1,3452953,3454789,+,Chr1,3453541,stem thickness,11.9957
OsLncORF00122,Chr1,3452953,3454789,+,Chr1,3453541,stem thickness,12.9136
OsLncORF00122,Chr1,3452953,3454789,+,Chr1,3453897,stem thickness,11.9957
OsLncORF00122,Chr1,3452953,3454789,+,Chr1,3453897,stem thickness,12.9136
OsLncORF00122,Chr1,3452953,3454789,+,Chr1,3454131,stem thickness,11.9957
OsLncORF00122,Chr1,3452953,3454789,+,Chr1,3454131,stem thickness,12.9136
OsLncORF00128,Chr1,3606406,3609500,-,Chr1,3608401,chlorophyll content,5.46218
OsLncORF00129,Chr1,3606406,3609500,-,Chr1,3608401,chlorophyll content,5.46218
OsLncORF00130,Chr1,3606406,3609500,-,Chr1,3608401,chlorophyll content,5.46218
OsLncORF00144,Chr1,4266661,4269557,-,Chr1,4268085,early sowing,5.85387
OsLncORF00144,Chr1,4266661,4269557,-,Chr1,4268085,early sowing,5.85387
OsLncORF00145,Chr1,4266661,4269557,-,Chr1,4268085,early sowing,5.85387
OsLncORF00145,Chr1,4266661,4269557,-,Chr1,4268085,early sowing,5.85387
OsLncORF00150,Chr1,4727286,4730130,-,Chr1,4727652,panicle number,4.10182
OsLncORF00151,Chr1,4727286,4730130,-,Chr1,4727652,panicle number,4.10182
OsLncORF00163,Chr1,5605301,5607849,-,Chr1,5606399,leaf angle,11.3904
OsLncORF00169,Chr1,5707722,5710721,+,Chr1,5709902,number of upper secondary rachis branches,4.81816
OsLncORF00169,Chr1,5707722,5710721,+,Chr1,5709947,number of upper secondary rachis branches,5.77728
OsLncORF00169,Chr1,5707722,5710721,+,Chr1,5710014,number of upper secondary rachis branches,5.02687
OsLncORF00169,Chr1,5707722,5710721,+,Chr1,5710039,number of upper secondary rachis branches,5.11238
OsLncORF00170,Chr1,5707722,5710721,+,Chr1,5709902,number of upper secondary rachis branches,4.81816
OsLncORF00170,Chr1,5707722,5710721,+,Chr1,5709947,number of upper secondary rachis branches,5.77728
OsLncORF00170,Chr1,5707722,5710721,+,Chr1,5710014,number of upper secondary rachis branches,5.02687
OsLncORF00170,Chr1,5707722,5710721,+,Chr1,5710039,number of upper secondary rachis branches,5.11238
OsLncORF00171,Chr1,5717877,5722425,+,Chr1,5721734,leaf senescence trait,5.08725
OsLncORF00172,Chr1,5717877,5722425,+,Chr1,5721734,leaf senescence trait,5.08725
OsLncORF00178,Chr1,6236589,6239233,-,Chr1,6237066,primary internode length,3.73518
OsLncORF00179,Chr1,6279911,6283014,-,Chr1,6282028,Leaf length,16.42
OsLncORF00179,Chr1,6279911,6283014,-,Chr1,6282028,Leaf length,22.19
OsLncORF00179,Chr1,6279911,6283014,-,Chr1,6282028,Leaf length,68.39
OsLncORF00183,Chr1,6655969,6663109,-,Chr1,6663001,grain length to width ratio,6.57025
OsLncORF00184,Chr1,6653084,6663127,-,Chr1,6663001,grain length to width ratio,6.57025
OsLncORF00185,Chr1,6653084,6663127,-,Chr1,6663001,grain length to width ratio,6.57025
OsLncORF00186,Chr1,6653084,6663127,-,Chr1,6663001,grain length to width ratio,6.57025
OsLncORF00187,Chr1,6655969,6663109,-,Chr1,6663001,grain length to width ratio,6.57025
OsLncORF00188,Chr1,6653084,6663127,-,Chr1,6663001,grain length to width ratio,6.57025
OsLncORF00189,Chr1,6653084,6663127,-,Chr1,6663001,grain length to width ratio,6.57025
OsLncORF00212,Chr1,8176628,8178887,+,Chr1,8177641,small vascular bundle number,5.92082
OsLncORF00212,Chr1,8176628,8178887,+,Chr1,8177976,germination index,3.58336
OsLncORF00213,Chr1,8176628,8178887,+,Chr1,8177641,small vascular bundle number,5.92082
OsLncORF00213,Chr1,8176628,8178887,+,Chr1,8177976,germination index,3.58336
OsLncORF00214,Chr1,8176628,8178887,+,Chr1,8177641,small vascular bundle number,5.92082
OsLncORF00214,Chr1,8176628,8178887,+,Chr1,8177976,germination index,3.58336
OsLncORF00251,Chr1,9891906,9902739,+,Chr1,9893052,Shoot length,4.1891
OsLncORF00259,Chr1,10374550,10377301,+,Chr1,10374665,stem diameter,10.983
OsLncORF00259,Chr1,10374550,10377301,+,Chr1,10374665,stem diameter,11.0195
OsLncORF00259,Chr1,10374550,10377301,+,Chr1,10374665,stem diameter,11.3298
OsLncORF00259,Chr1,10374550,10377301,+,Chr1,10374665,stem thickness,11.9957
OsLncORF00259,Chr1,10374550,10377301,+,Chr1,10374665,stem thickness,14.3335
OsLncORF00259,Chr1,10374550,10377301,+,Chr1,10374715,stem diameter,10.983
OsLncORF00259,Chr1,10374550,10377301,+,Chr1,10374715,stem diameter,11.0195
OsLncORF00259,Chr1,10374550,10377301,+,Chr1,10374715,stem diameter,11.3298
OsLncORF00259,Chr1,10374550,10377301,+,Chr1,10374715,stem thickness,11.9957
OsLncORF00259,Chr1,10374550,10377301,+,Chr1,10374715,stem thickness,14.3335
OsLncORF00260,Chr1,10374550,10377301,+,Chr1,10374665,stem diameter,10.983
OsLncORF00260,Chr1,10374550,10377301,+,Chr1,10374665,stem diameter,11.0195
OsLncORF00260,Chr1,10374550,10377301,+,Chr1,10374665,stem diameter,11.3298
OsLncORF00260,Chr1,10374550,10377301,+,Chr1,10374665,stem thickness,11.9957
OsLncORF00260,Chr1,10374550,10377301,+,Chr1,10374665,stem thickness,14.3335
OsLncORF00260,Chr1,10374550,10377301,+,Chr1,10374715,stem diameter,10.983
OsLncORF00260,Chr1,10374550,10377301,+,Chr1,10374715,stem diameter,11.0195
OsLncORF00260,Chr1,10374550,10377301,+,Chr1,10374715,stem diameter,11.3298
OsLncORF00260,Chr1,10374550,10377301,+,Chr1,10374715,stem thickness,11.9957
OsLncORF00260,Chr1,10374550,10377301,+,Chr1,10374715,stem thickness,14.3335
OsLncORF00265,Chr1,10533170,10537114,-,Chr1,10534664,stem thickness,3.60906
OsLncORF00265,Chr1,10533170,10537114,-,Chr1,10534676,stem thickness,2.92812
OsLncORF00265,Chr1,10533170,10537114,-,Chr1,10535131,stem thickness,2.8962
OsLncORF00265,Chr1,10533170,10537114,-,Chr1,10535592,stem thickness,2.9393
OsLncORF00265,Chr1,10533170,10537114,-,Chr1,10535593,stem thickness,3.66154
OsLncORF00265,Chr1,10533170,10537114,-,Chr1,10535593,stem thickness,4.11805
OsLncORF00265,Chr1,10533170,10537114,-,Chr1,10536648,stem thickness,3.19111
OsLncORF00265,Chr1,10533170,10537114,-,Chr1,10536649,stem thickness,3.19111
OsLncORF00266,Chr1,10533170,10537114,-,Chr1,10534664,stem thickness,3.60906
OsLncORF00266,Chr1,10533170,10537114,-,Chr1,10534676,stem thickness,2.92812
OsLncORF00266,Chr1,10533170,10537114,-,Chr1,10535131,stem thickness,2.8962
OsLncORF00266,Chr1,10533170,10537114,-,Chr1,10535592,stem thickness,2.9393
OsLncORF00266,Chr1,10533170,10537114,-,Chr1,10535593,stem thickness,3.66154
OsLncORF00266,Chr1,10533170,10537114,-,Chr1,10535593,stem thickness,4.11805
OsLncORF00266,Chr1,10533170,10537114,-,Chr1,10536648,stem thickness,3.19111
OsLncORF00266,Chr1,10533170,10537114,-,Chr1,10536649,stem thickness,3.19111
OsLncORF00273,Chr1,11545825,11549635,-,Chr1,11548353,days to heading,4.23136
OsLncORF00274,Chr1,11545825,11549635,-,Chr1,11548353,days to heading,4.23136
OsLncORF00275,Chr1,11545825,11549635,-,Chr1,11548353,days to heading,4.23136
OsLncORF00276,Chr1,11667260,11667683,-,Chr1,11667486,primary internode length,5.24033
OsLncORF00276,Chr1,11667260,11667683,-,Chr1,11667486,primary internode length,5.24033
OsLncORF00276,Chr1,11667260,11667683,-,Chr1,11667563,sheath blight disease resistance,6.4828
OsLncORF00276,Chr1,11667260,11667683,-,Chr1,11667563,sheath blight disease resistance,6.50585
OsLncORF00291,Chr1,13110509,13111841,-,Chr1,13110805,breaking strength of the basal internode,11.3197
OsLncORF00291,Chr1,13110509,13111841,-,Chr1,13110805,stem thickness,10.6904
OsLncORF00291,Chr1,13110509,13111841,-,Chr1,13110805,stem thickness,10.8356
OsLncORF00291,Chr1,13110509,13111841,-,Chr1,13111183,breaking strength of the basal internode,11.3197
OsLncORF00291,Chr1,13110509,13111841,-,Chr1,13111183,stem thickness,10.6904
OsLncORF00291,Chr1,13110509,13111841,-,Chr1,13111183,stem thickness,10.8356
OsLncORF00292,Chr1,13121492,13124591,+,Chr1,13122590,breaking strength of the basal internode,11.3197
OsLncORF00292,Chr1,13121492,13124591,+,Chr1,13122590,stem thickness,10.6904
OsLncORF00292,Chr1,13121492,13124591,+,Chr1,13122590,stem thickness,10.8356
OsLncORF00292,Chr1,13121492,13124591,+,Chr1,13123658,breaking strength of the basal internode,11.3197
OsLncORF00292,Chr1,13121492,13124591,+,Chr1,13123658,stem thickness,10.6904
OsLncORF00292,Chr1,13121492,13124591,+,Chr1,13123658,stem thickness,10.8356
OsLncORF00292,Chr1,13121492,13124591,+,Chr1,13123771,breaking strength of the basal internode,11.3197
OsLncORF00292,Chr1,13121492,13124591,+,Chr1,13123771,stem thickness,10.6904
OsLncORF00292,Chr1,13121492,13124591,+,Chr1,13123771,stem thickness,10.8356
OsLncORF00293,Chr1,13121492,13124591,+,Chr1,13122590,breaking strength of the basal internode,11.3197
OsLncORF00293,Chr1,13121492,13124591,+,Chr1,13122590,stem thickness,10.6904
OsLncORF00293,Chr1,13121492,13124591,+,Chr1,13122590,stem thickness,10.8356
OsLncORF00293,Chr1,13121492,13124591,+,Chr1,13123658,breaking strength of the basal internode,11.3197
OsLncORF00293,Chr1,13121492,13124591,+,Chr1,13123658,stem thickness,10.6904
OsLncORF00293,Chr1,13121492,13124591,+,Chr1,13123658,stem thickness,10.8356
OsLncORF00293,Chr1,13121492,13124591,+,Chr1,13123771,breaking strength of the basal internode,11.3197
OsLncORF00293,Chr1,13121492,13124591,+,Chr1,13123771,stem thickness,10.6904
OsLncORF00293,Chr1,13121492,13124591,+,Chr1,13123771,stem thickness,10.8356
OsLncORF00294,Chr1,13121492,13124591,+,Chr1,13122590,breaking strength of the basal internode,11.3197
OsLncORF00294,Chr1,13121492,13124591,+,Chr1,13122590,stem thickness,10.6904
OsLncORF00294,Chr1,13121492,13124591,+,Chr1,13122590,stem thickness,10.8356
OsLncORF00294,Chr1,13121492,13124591,+,Chr1,13123658,breaking strength of the basal internode,11.3197
OsLncORF00294,Chr1,13121492,13124591,+,Chr1,13123658,stem thickness,10.6904
OsLncORF00294,Chr1,13121492,13124591,+,Chr1,13123658,stem thickness,10.8356
OsLncORF00294,Chr1,13121492,13124591,+,Chr1,13123771,breaking strength of the basal internode,11.3197
OsLncORF00294,Chr1,13121492,13124591,+,Chr1,13123771,stem thickness,10.6904
OsLncORF00294,Chr1,13121492,13124591,+,Chr1,13123771,stem thickness,10.8356
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13177257,breaking strength of the basal internode,11.3197
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13177257,stem thickness,10.6904
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13177257,stem thickness,10.8356
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13177294,breaking strength of the basal internode,11.3197
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13177294,stem thickness,10.6904
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13177294,stem thickness,10.8356
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13177737,breaking strength of the basal internode,11.3197
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13177737,stem thickness,10.6904
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13177737,stem thickness,10.8356
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13178105,breaking strength of the basal internode,11.3197
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13178105,stem thickness,10.6904
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13178105,stem thickness,10.8356
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13178520,breaking strength of the basal internode,11.3197
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13178520,stem thickness,10.6904
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13178520,stem thickness,10.8356
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13179262,breaking strength of the basal internode,11.3197
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13179262,stem thickness,10.6904
OsLncORF00295,Chr1,13176746,13179600,-,Chr1,13179262,stem thickness,10.8356
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13177257,breaking strength of the basal internode,11.3197
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13177257,stem thickness,10.6904
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13177257,stem thickness,10.8356
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13177294,breaking strength of the basal internode,11.3197
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13177294,stem thickness,10.6904
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13177294,stem thickness,10.8356
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13177737,breaking strength of the basal internode,11.3197
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13177737,stem thickness,10.6904
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13177737,stem thickness,10.8356
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13178105,breaking strength of the basal internode,11.3197
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13178105,stem thickness,10.6904
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13178105,stem thickness,10.8356
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13178520,breaking strength of the basal internode,11.3197
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13178520,stem thickness,10.6904
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13178520,stem thickness,10.8356
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13179262,breaking strength of the basal internode,11.3197
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13179262,stem thickness,10.6904
OsLncORF00296,Chr1,13176746,13179600,-,Chr1,13179262,stem thickness,10.8356
OsLncORF00297,Chr1,13355415,13358592,-,Chr1,13358567,breaking strength of the basal internode,14.5058
OsLncORF00297,Chr1,13355415,13358592,-,Chr1,13358567,stem diameter,12.1618
OsLncORF00297,Chr1,13355415,13358592,-,Chr1,13358567,stem diameter,12.202
OsLncORF00297,Chr1,13355415,13358592,-,Chr1,13358567,stem diameter,12.3002
OsLncORF00297,Chr1,13355415,13358592,-,Chr1,13358567,stem thickness,13.8356
OsLncORF00297,Chr1,13355415,13358592,-,Chr1,13358567,stem thickness,14.4134
OsLncORF00297,Chr1,13355415,13358592,-,Chr1,13358567,stem thickness,16.4815
OsLncORF00298,Chr1,13563932,13566988,-,Chr1,13566285,relative shoot length,2.6968
OsLncORF00305,Chr1,14128462,14130687,+,Chr1,14130583,linolenic acid concentration,7.19791
OsLncORF00305,Chr1,14128462,14130687,+,Chr1,14130583,linolenic acid concentration,8.75945
OsLncORF00316,Chr1,14453630,14458081,-,Chr1,14455490,panicle number,4.67778
OsLncORF00317,Chr1,14453630,14458081,-,Chr1,14455490,panicle number,4.67778
OsLncORF00318,Chr1,14453630,14458081,-,Chr1,14455490,panicle number,4.67778
OsLncORF00319,Chr1,14483421,14485488,+,Chr1,14485111,stem diameter,3.93554
OsLncORF00319,Chr1,14483421,14485488,+,Chr1,14485111,stem diameter,4.46852
OsLncORF00319,Chr1,14483421,14485488,+,Chr1,14485111,stem diameter,4.52143
OsLncORF00320,Chr1,14483421,14485488,+,Chr1,14485111,stem diameter,3.93554
OsLncORF00320,Chr1,14483421,14485488,+,Chr1,14485111,stem diameter,4.46852
OsLncORF00320,Chr1,14483421,14485488,+,Chr1,14485111,stem diameter,4.52143
OsLncORF00322,Chr1,14627967,14631006,+,Chr1,14629677,flag leaf length,2.64016
OsLncORF00339,Chr1,15851505,15854134,-,Chr1,15851990,resistant starch,2.266
OsLncORF00339,Chr1,15851505,15854134,-,Chr1,15852004,resistant starch,2.30539
OsLncORF00339,Chr1,15851505,15854134,-,Chr1,15852191,resistant starch,2.21325
OsLncORF00339,Chr1,15851505,15854134,-,Chr1,15852555,resistant starch,2.1945
OsLncORF00347,Chr1,16147526,16206709,+,Chr1,16154258,relative shoot dry weight,3.01502
OsLncORF00347,Chr1,16147526,16206709,+,Chr1,16154258,relative shoot dry weight,3.10902
OsLncORF00347,Chr1,16147526,16206709,+,Chr1,16190978,panicle number,4.9914
OsLncORF00347,Chr1,16147526,16206709,+,Chr1,16195788,panicle number,5.29328
OsLncORF00348,Chr1,16147526,16206709,+,Chr1,16154258,relative shoot dry weight,3.01502
OsLncORF00348,Chr1,16147526,16206709,+,Chr1,16154258,relative shoot dry weight,3.10902
OsLncORF00348,Chr1,16147526,16206709,+,Chr1,16190978,panicle number,4.9914
OsLncORF00348,Chr1,16147526,16206709,+,Chr1,16195788,panicle number,5.29328
OsLncORF00349,Chr1,16147526,16206709,+,Chr1,16154258,relative shoot dry weight,3.01502
OsLncORF00349,Chr1,16147526,16206709,+,Chr1,16154258,relative shoot dry weight,3.10902
OsLncORF00349,Chr1,16147526,16206709,+,Chr1,16190978,panicle number,4.9914
OsLncORF00349,Chr1,16147526,16206709,+,Chr1,16195788,panicle number,5.29328
OsLncORF00378,Chr1,18594232,18597136,-,Chr1,18596159,relative root dry weight,2.66154
OsLncORF00378,Chr1,18594232,18597136,-,Chr1,18596159,relative shoot dry weight,3.14997
OsLncORF00405,Chr1,19457114,19458333,+,Chr1,19457289,stem thickness,2.91364
OsLncORF00406,Chr1,19578544,19579422,+,Chr1,19579186,stem thickness,3.28233
OsLncORF00406,Chr1,19578544,19579422,+,Chr1,19579186,stem thickness,3.94692
OsLncORF00406,Chr1,19578544,19579422,+,Chr1,19579244,stem thickness,3.28233
OsLncORF00406,Chr1,19578544,19579422,+,Chr1,19579244,stem thickness,3.94692
OsLncORF00406,Chr1,19578544,19579422,+,Chr1,19579261,stem thickness,3.28233
OsLncORF00406,Chr1,19578544,19579422,+,Chr1,19579261,stem thickness,3.94692
OsLncORF00407,Chr1,19578544,19579422,+,Chr1,19579186,stem thickness,3.28233
OsLncORF00407,Chr1,19578544,19579422,+,Chr1,19579186,stem thickness,3.94692
OsLncORF00407,Chr1,19578544,19579422,+,Chr1,19579244,stem thickness,3.28233
OsLncORF00407,Chr1,19578544,19579422,+,Chr1,19579244,stem thickness,3.94692
OsLncORF00407,Chr1,19578544,19579422,+,Chr1,19579261,stem thickness,3.28233
OsLncORF00407,Chr1,19578544,19579422,+,Chr1,19579261,stem thickness,3.94692
OsLncORF00408,Chr1,19578544,19579422,+,Chr1,19579186,stem thickness,3.28233
OsLncORF00408,Chr1,19578544,19579422,+,Chr1,19579186,stem thickness,3.94692
OsLncORF00408,Chr1,19578544,19579422,+,Chr1,19579244,stem thickness,3.28233
OsLncORF00408,Chr1,19578544,19579422,+,Chr1,19579244,stem thickness,3.94692
OsLncORF00408,Chr1,19578544,19579422,+,Chr1,19579261,stem thickness,3.28233
OsLncORF00408,Chr1,19578544,19579422,+,Chr1,19579261,stem thickness,3.94692
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686051,stem thickness,2.90658
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686051,stem thickness,3.45346
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686051,stem thickness,4.04287
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686093,stem thickness,3.66154
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686093,stem thickness,3.79048
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686559,stem thickness,2.90658
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686559,stem thickness,3.45346
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686559,stem thickness,4.04287
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686602,stem thickness,2.90658
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686602,stem thickness,3.45346
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686602,stem thickness,4.04287
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686700,stem thickness,3.01011
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686700,stem thickness,3.45346
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686700,stem thickness,4.13906
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686766,stem thickness,2.5391
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686766,stem thickness,3.17328
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19686766,stem thickness,3.7986
OsLncORF00409,Chr1,19685929,19688086,-,Chr1,19687087,stem thickness,2.90658
