ORF ID,Database,Subject ID,Identity,Alignment length,Mismatches,Gap openings,LncORF start,LncORF end,Subject start,Subject end,E-value,Bitscore
OsLncORF00326,NR,BAD52918.1,1,32,0,0,1,32,47,78,1.64E-12,71
OsLncORF00347,NR,BAD69080.1,1,72,0,0,1,72,1,72,2.13E-37,145
OsLncORF00350,NR,KAF2922707.1,0.875,40,5,0,2,41,256,295,1.04E-13,75
OsLncORF00354,NR,CAE03841.1,0.903,31,3,0,8,38,362,392,2.20E-08,59
OsLncORF00356,NR,KAF2950335.1,1,61,0,0,1,61,1,61,1.09E-32,130
OsLncORF00361,CDD,CHL00048,0.476,63,33,0,2,64,157,219,2.27E-29,109
OsLncORF00361,eggNOG,2SHG6,0.906,64,6,0,1,64,187,250,1.42E-30,115
OsLncORF00361,NR,KAF2950350.1,0.984,64,1,0,1,64,11,74,7.35E-34,134
OsLncORF00361,Pfam-A,PF00189.25,0.298,57,40,0,4,60,58,114,4.68E-19,78
OsLncORF00361,Swiss-Prot,Q6END5,0.984,63,1,0,2,64,177,239,3.74E-36,132
OsLncORF00365,NR,KAF2950379.1,0.973,38,1,0,1,38,29,66,5.19E-13,74
OsLncORF00366,NR,BAF05064.1,1,29,0,0,1,29,86,114,4.43E-07,55
OsLncORF00369,NR,BAB92190.1,0.935,31,2,0,1,31,1,31,1.51E-08,62
OsLncORF00430,CDD,CHL00038,1,38,0,0,28,65,1,38,3.58E-18,77
OsLncORF00430,eggNOG,2R356,1,38,0,0,28,65,1,38,1.11E-18,81
OsLncORF00430,NR,USG95780.1,0.981,55,1,0,11,65,11,65,1.02E-25,111
OsLncORF00430,Pfam-A,PF02419.22,0.729,37,10,0,29,65,6,42,2.76E-17,73
OsLncORF00430,Swiss-Prot,Q67HH2,1,38,0,0,28,65,1,38,1.14E-17,79
OsLncORF00431,NR,KAB8085834.1,0.822,45,8,0,18,62,3,47,4.26E-13,74
OsLncORF00438,eggNOG,2SZH2,0.54,61,22,4,4,61,30,87,9.72E-05,41
OsLncORF00438,NR,A9UGV6.1,1,61,0,0,1,61,1,61,5.11E-20,94
OsLncORF00438,Swiss-Prot,A9UGV6,1,61,0,0,1,61,1,61,3.88E-23,94
OsLncORF00441,NR,BAD87959.1,1,19,0,0,1,19,52,70,5.18E-04,46
OsLncORF00451,NR,BAD45098.1,1,31,0,0,1,31,40,70,1.66E-10,66
OsLncORF00459,NR,RDJ58683.1,0.592,54,20,1,1,52,10,63,2.44E-11,69
OsLncORF00471,NR,ACG43031.1,0.825,40,7,0,2,41,38,77,1.15E-10,66
OsLncORF00475,eggNOG,2QTC9,0,56,56,0,3,58,51,106,3.28E-06,45
OsLncORF00475,NR,BAH91178.1,1,58,0,0,1,58,35,92,3.86E-30,123
OsLncORF00475,Pfam-B,Pfam-B_161114,0.321,56,30,3,6,57,1,52,7.43E-05,40
OsLncORF00475,Swiss-Prot,P0C2F6,0.358,53,34,0,6,58,1,53,2.18E-04,40
OsLncORF00478,NR,BAD52818.1,1,31,0,0,1,31,55,85,3.77E-12,70
OsLncORF00499,NR,BAD61175.1,1,30,0,0,1,30,1,30,4.16E-09,61
OsLncORF00517,NR,BAD68747.1,0.911,45,4,0,1,45,1,45,4.89E-14,79
OsLncORF00521,NR,KAJ6822293.1,0.644,245,78,3,19,255,1,244,1.15E-74,263
OsLncORF00524,NR,KAF2951412.1,1,35,0,0,1,35,127,161,1.42E-13,74
OsLncORF00534,NR,EEE67817.1,0.96,25,1,0,9,33,6,30,5.75E-05,49
OsLncORF00563,NR,XP_052135411.1,0.916,24,2,0,3,26,24,47,4.78E-06,52
OsLncORF00573,NR,KAF2951688.1,1,35,0,0,1,35,14,48,8.90E-12,69
OsLncORF00584,eggNOG,KOG2363,0,27,27,0,5,31,232,258,2.38E-05,41
OsLncORF00605,eggNOG,2SZH2,0.984,63,1,0,1,63,25,87,4.64E-26,102
OsLncORF00605,NR,KAF2951903.1,1,63,0,0,1,63,1,63,3.02E-24,106
OsLncORF00605,Swiss-Prot,A9UGV7,0.774,62,14,0,1,62,1,62,9.52E-17,76
OsLncORF00612,NR,KAF2951972.1,1,40,0,0,1,40,37,76,1.71E-16,83
OsLncORF00613,NR,KAF2951975.1,1,46,0,0,1,46,37,82,5.65E-23,102
OsLncORF00640,NR,KAF2908004.1,0.977,44,1,0,1,44,8,51,3.41E-18,88
OsLncORF00653,NR,BAS93867.1,0.794,39,8,0,2,40,60,98,5.34E-10,64
OsLncORF00689,NR,KAF2952350.1,0.977,45,1,0,1,45,2,46,2.41E-19,91
OsLncORF00717,CDD,pfam12734,0.458,48,21,1,11,58,1,43,2.88E-07,46
OsLncORF00717,eggNOG,2S5E9,0.75,68,15,2,1,67,114,180,6.65E-32,119
OsLncORF00717,NR,EEC71581.1,1,67,0,0,1,67,1,67,3.70E-39,149
OsLncORF00717,Pfam-A,PF12734.12,0.218,55,35,1,6,60,51,97,1.76E-08,48
OsLncORF00717,Swiss-Prot,Q8LG30,0.575,73,22,2,1,64,1,73,7.19E-19,82
OsLncORF00721,NR,KAF2952655.1,1,52,0,0,1,52,37,88,9.90E-26,110
OsLncORF00725,CDD,TIGR01770,0.274,51,34,1,1,51,175,222,2.01E-08,49
OsLncORF00725,eggNOG,KOG4668,0,64,60,2,1,61,798,860,1.35E-15,72
OsLncORF00725,NR,KAF2952725.1,1,62,0,0,1,62,1,62,1.99E-31,127
OsLncORF00725,Swiss-Prot,P93401,0.98,51,1,0,1,51,185,235,1.46E-26,104
OsLncORF00727,NR,KAF2952725.1,1,30,0,0,1,30,33,62,5.41E-09,61
OsLncORF00727,Swiss-Prot,P93401,1,19,0,0,1,19,217,235,1.28E-04,39
OsLncORF00734,eggNOG,2ZJ01,0,22,22,0,2,23,156,177,4.55E-08,48
OsLncORF00734,NR,GMC82605.1,1,23,0,0,2,24,81,103,9.27E-08,57
OsLncORF00735,NR,KAA0038988.1,0.923,26,2,0,1,26,1,26,3.57E-10,64
OsLncORF00736,eggNOG,2S9I6,0.928,42,3,0,1,42,72,113,1.60E-19,82
OsLncORF00736,NR,KAF2914498.1,0.976,43,1,0,1,43,1,43,9.07E-19,89
OsLncORF00737,eggNOG,2SDM4,0.9,30,3,0,23,52,63,92,2.74E-12,64
OsLncORF00737,NR,MED6121221.1,1,77,0,0,1,77,1,77,9.02E-45,167
OsLncORF00737,Swiss-Prot,Q37069,1,23,0,0,65,87,1,23,5.15E-07,49
OsLncORF00739,eggNOG,2SFTD,0.514,35,17,0,1,35,9,43,1.93E-07,47
OsLncORF00783,NR,TKW17409.1,0.636,44,16,0,1,44,11,54,2.39E-07,57
OsLncORF00797,NR,KAF2907659.1,0.942,35,2,0,1,35,1,35,1.35E-08,60
OsLncORF00823,CDD,CHL00047,0.863,22,3,0,1,22,37,58,8.24E-08,46
OsLncORF00823,eggNOG,2SDX2,0.863,22,3,0,1,22,97,118,1.44E-06,45
OsLncORF00823,NR,YP_009034080.1,0.785,42,7,1,1,42,40,79,9.77E-08,58
OsLncORF00823,Pfam-A,PF02533.20,0.625,24,9,0,1,24,34,57,5.70E-08,45
OsLncORF00823,Swiss-Prot,Q3BAQ9,0.909,22,2,0,1,22,40,61,1.93E-05,42
OsLncORF00824,NR,VVW87307.1,0.666,33,11,0,2,34,7,39,1.47E-06,55
OsLncORF00830,NR,BAD82301.1,1,29,0,0,1,29,1,29,3.00E-06,57
OsLncORF00831,NR,KAF2953375.1,1,29,0,0,1,29,59,87,1.15E-06,54
OsLncORF00852,NR,pir|C31182|,0.952,21,1,0,1,21,1,21,8.06E-04,45
OsLncORF00857,NR,BAD82140.1,1,50,0,0,1,50,1,50,3.15E-21,97
OsLncORF00915,NR,KAF2954137.1,1,48,0,0,1,48,1,48,7.40E-25,107
OsLncORF00954,NR,KAF2954243.1,1,42,0,0,1,42,1,42,3.60E-16,82
OsLncORF00955,NR,BAB63848.1,1,47,0,0,31,77,15,61,4.01E-19,93
OsLncORF00982,NR,TVU36978.1,0.714,35,8,1,3,35,73,107,8.53E-06,52
OsLncORF00986,NR,KAB8117448.1,0.722,36,8,1,4,37,3,38,5.01E-06,53
OsLncORF01016,eggNOG,2R2CM,0.954,44,2,0,2,45,83,126,2.55E-23,93
OsLncORF01016,NR,KAG2534439.1,0.955,45,2,0,1,45,1,45,1.50E-19,92
OsLncORF01017,eggNOG,30MMU,0.692,26,8,0,32,57,9,34,8.02E-05,41
OsLncORF01017,NR,KAJ1253680.1,0.947,57,3,0,1,57,1,57,1.01E-26,113
OsLncORF01033,NR,KAF2942844.1,1,63,0,0,1,63,1,63,2.88E-31,126
OsLncORF01035,NR,KAF2942844.1,1,40,0,0,1,40,24,63,2.99E-15,79
OsLncORF01050,NR,KAF2942853.1,1,76,0,0,1,76,30,105,4.01E-42,158
OsLncORF01064,NR,KAF2943032.1,1,44,0,0,1,44,27,70,6.43E-18,87
OsLncORF01065,NR,EEC72474.1,1,33,0,0,1,33,72,104,1.40E-10,65
OsLncORF01076,NR,XP_015624605.1,0.851,27,4,0,9,35,11,37,8.45E-06,52
OsLncORF01082,NR,EEE56355.1,1,102,0,0,1,102,99,200,1.08E-59,211
OsLncORF01090,NR,KAF2943260.1,1,46,0,0,1,46,1,46,6.61E-21,96
OsLncORF01128,NR,KAF2943441.1,0.976,42,1,0,17,58,18,59,4.05E-19,91
OsLncORF01131,NR,KAF2943459.1,0.941,34,2,0,1,34,31,64,1.44E-11,68
OsLncORF01172,NR,KAF2943724.1,0.97,34,1,0,1,34,43,76,3.06E-14,76
OsLncORF01173,NR,KAF2943727.1,1,46,0,0,1,46,46,91,3.25E-24,105
OsLncORF01175,eggNOG,2R7EP,0.472,36,18,1,1,36,304,338,6.89E-04,37
OsLncORF01186,NR,EEE56561.1,0.981,55,1,0,1,55,1,55,4.80E-25,108
OsLncORF01231,NR,KAF2943983.1,1,31,0,0,1,31,1,31,6.75E-11,67
OsLncORF01312,NR,BAD22182.1,1,35,0,0,1,35,1,35,5.83E-14,76
OsLncORF01316,NR,KAB8092349.1,0.507,67,28,2,43,105,2,67,5.29E-07,59
OsLncORF01333,NR,KAF2921422.1,0.952,21,1,0,1,21,113,133,2.36E-06,53
OsLncORF01339,NR,BAS78402.1,0.989,96,0,1,15,109,30,125,5.13E-55,198
OsLncORF01344,NR,KAF2922394.1,0.77,48,8,1,1,45,111,158,3.09E-11,69
OsLncORF01347,NR,XP_052145634.1,0.977,45,1,0,1,45,1,45,1.14E-20,96
OsLncORF01349,NR,EEC75614.1,0.714,35,10,0,1,35,112,146,9.89E-05,49
OsLncORF01352,NR,KAF2950252.1,0.714,42,12,0,1,42,36,77,4.45E-05,50
OsLncORF01354,NR,KAF2944639.1,1,52,0,0,1,52,1,52,1.48E-26,112
OsLncORF01355,NR,KAF2944640.1,1,60,0,0,1,60,1,60,1.52E-29,121
OsLncORF01362,NR,BAH94244.1,0.906,32,3,0,1,32,9,40,4.40E-09,61
OsLncORF01363,NR,XP_015649214.1,0.861,36,5,0,3,38,126,161,3.93E-11,69
OsLncORF01377,NR,BAD10263.1,0.896,29,3,0,1,29,108,136,1.56E-04,50
OsLncORF01382,NR,BAD21788.1,1,35,0,0,1,35,1,35,3.08E-14,77
OsLncORF01383,NR,BAD21789.1,1,48,0,0,42,89,37,84,1.45E-19,94
OsLncORF01415,NR,BAD38131.1,1,26,0,0,1,26,84,109,5.92E-09,60
OsLncORF01417,NR,BAD26315.1,1,75,0,0,1,75,1,75,1.14E-39,151
OsLncORF01424,NR,BAD25389.1,1,65,0,0,1,65,1,65,3.69E-29,121
OsLncORF01425,NR,BAS78977.1,1,35,0,0,1,35,1,35,2.59E-09,63
OsLncORF01426,NR,BAS78977.1,1,53,0,0,1,53,1,53,3.95E-22,100
OsLncORF01471,NR,KAF2945206.1,1,39,0,0,1,39,12,50,1.91E-14,77
OsLncORF01472,NR,BAD22357.1,1,21,0,0,1,21,276,296,3.32E-05,49
OsLncORF01506,NR,WOK91822.1,0.731,41,11,0,1,41,544,584,7.78E-07,55
OsLncORF01509,NR,BAD16424.1,1,71,0,0,25,95,62,132,1.80E-33,135
OsLncORF01510,NR,KAF2945319.1,1,77,0,0,1,77,1,77,1.19E-42,160
OsLncORF01530,NR,BAD29329.1,1,55,0,0,1,55,1,55,9.14E-27,113
OsLncORF01536,NR,BAD29332.1,0.945,73,1,1,1,73,1,70,4.60E-38,147
OsLncORF01542,eggNOG,KOG2140,0,86,81,2,1,86,184,264,7.29E-14,69
OsLncORF01542,NR,KAB8114255.1,0.5,86,38,2,1,86,59,139,2.05E-08,63
OsLncORF01548,NR,BAD17432.1,1,77,0,0,1,77,69,145,1.58E-38,148
OsLncORF01559,NR,KAF2945625.1,1,51,0,0,1,51,1,51,8.07E-28,116
OsLncORF01605,NR,KAF2945970.1,1,81,0,0,1,81,61,141,2.83E-46,171
OsLncORF01610,eggNOG,2SFHK,0.489,47,16,1,1,39,1,47,1.75E-10,56
OsLncORF01610,NR,KAF2945993.1,1,40,0,0,1,40,49,88,5.62E-19,90
OsLncORF01612,NR,BAG95645.1,1,54,0,0,1,54,1,54,1.62E-22,101
OsLncORF01654,NR,EAZ24160.1,0.968,63,2,0,1,63,1,63,8.79E-28,117
OsLncORF01674,NR,KAJ1280447.1,0.718,32,9,0,8,39,8,39,1.45E-05,52
OsLncORF01684,eggNOG,2R4KX,0.311,77,36,2,15,74,109,185,1.27E-14,70
OsLncORF01684,NR,EAZ09168.1,0.848,66,10,0,1,66,1,66,3.45E-26,113
OsLncORF01691,NR,KAI3483918.1,0.923,39,3,0,1,39,292,330,2.23E-16,82
OsLncORF01692,eggNOG,2SUN9,0.931,44,3,0,1,44,7,50,2.70E-22,90
OsLncORF01692,NR,KAJ1255345.1,1,44,0,0,1,44,1,44,2.49E-22,100
OsLncORF01694,eggNOG,KOG4853,0,44,44,0,2,45,1346,1389,1.38E-16,74
OsLncORF01694,NR,NMR96796.1,0.938,49,3,0,1,49,1,49,7.14E-20,93
OsLncORF01702,NR,KAF2946652.1,1,36,0,0,1,36,69,104,5.37E-13,72
OsLncORF01705,NR,EEE57717.1,0.59,66,15,1,1,54,1,66,7.60E-10,65
OsLncORF01712,NR,KAG8072256.1,0.866,30,4,0,1,30,1,30,5.03E-08,58
OsLncORF01715,NR,BAT16371.1,0.662,77,14,4,1,65,1,77,1.01E-18,92
OsLncORF01735,NR,BAS89017.1,0.615,52,12,1,19,70,29,72,1.74E-08,62
OsLncORF01745,NR,KAF2947153.1,1,105,0,0,1,105,1,105,6.33E-63,220
OsLncORF01750,NR,KAG0535088.1,0.875,24,3,0,4,27,134,157,1.32E-05,51
OsLncORF01790,NR,EEC74193.1,1,21,0,0,1,21,370,390,5.86E-04,46
OsLncORF01795,NR,KAF2947572.1,1,49,0,0,1,49,107,155,5.63E-21,96
OsLncORF01808,NR,AAT44251.1,0.626,83,5,3,1,58,114,195,7.34E-11,71
OsLncORF01857,NR,KAF2936920.1,1,53,0,0,1,53,60,112,7.59E-26,110
OsLncORF01886,eggNOG,2R5UQ,0.741,62,16,0,1,62,6,67,1.28E-30,115
OsLncORF01886,NR,KAF2937032.1,1,62,0,0,1,62,1,62,6.50E-30,123
OsLncORF01888,eggNOG,2R5UQ,0.947,38,2,0,1,38,30,67,1.54E-17,76
OsLncORF01888,NR,KAF2937032.1,1,38,0,0,1,38,25,62,4.70E-14,76
OsLncORF01914,NR,KAF2937270.1,1,63,0,0,1,63,1,63,3.20E-36,141
OsLncORF01934,NR,KAF2937635.1,1,79,0,0,1,79,1,79,2.80E-47,173
OsLncORF01944,NR,AEZ03740.1,0.896,29,3,0,4,32,354,382,4.89E-08,59
OsLncORF01945,CDD,CHL00040,0.437,48,25,1,1,48,341,386,3.34E-19,79
OsLncORF01945,eggNOG,2QTI9,0.023,43,42,0,1,43,552,594,8.27E-22,89
OsLncORF01945,NR,AIA24182.1,1,43,0,0,1,43,93,135,2.90E-20,94
OsLncORF01945,Swiss-Prot,P25413,1,43,0,0,1,43,286,328,2.20E-23,94
OsLncORF01980,NR,EEE58624.1,1,66,0,0,1,66,1,66,1.67E-34,136
OsLncORF01980,Pfam-B,Pfam-B_007888,0.386,44,26,1,12,55,98,140,7.40E-08,49
OsLncORF01989,NR,BAD61965.1,0.951,41,2,0,42,82,1,41,1.32E-18,91
OsLncORF02025,NR,KAF2938564.1,1,50,0,0,1,50,50,99,4.42E-29,119
OsLncORF02049,NR,RCV18611.1,0.777,27,6,0,6,32,78,104,5.80E-05,50
OsLncORF02061,NR,KAF2938857.1,1,44,0,0,1,44,1,44,1.81E-18,89
OsLncORF02072,NR,BAS83896.1,1,45,0,0,1,45,18,62,1.76E-21,97
OsLncORF02097,eggNOG,2SP94,0,36,36,0,33,68,154,189,9.06E-15,70
OsLncORF02097,NR,BAD69174.1,0.894,38,4,0,31,68,336,373,9.27E-11,68
OsLncORF02123,NR,GER43455.1,0.681,44,13,1,2,45,115,157,1.80E-07,58
OsLncORF02123,Pfam-B,Pfam-B_040299,0,31,31,0,3,33,135,165,4.15E-04,38
OsLncORF02166,NR,ABF96428.1,0.742,66,17,0,10,75,129,194,1.33E-26,114
OsLncORF02167,NR,ABF96428.1,0.716,60,17,0,1,60,135,194,8.51E-23,102
OsLncORF02176,NR,AQK64459.1,0.59,61,25,0,50,110,2,62,3.56E-10,69
OsLncORF02183,NR,KAF2939951.1,1,50,0,0,1,50,1,50,5.93E-21,96
OsLncORF02184,NR,AAM74339.1,0.87,31,4,0,1,31,518,548,1.29E-06,54
OsLncORF02223,NR,KAF2926020.1,0.896,29,3,0,1,29,57,85,4.75E-08,58
OsLncORF02265,NR,AAS07115.1,1,76,0,0,1,76,1,76,1.04E-41,157
OsLncORF02272,NR,KAF2940550.1,1,41,0,0,1,41,31,71,5.47E-18,89
OsLncORF02274,NR,KAF2940550.1,0.976,42,1,0,1,42,31,72,2.48E-18,88
OsLncORF02294,CDD,KOG0582,0.394,380,188,5,37,416,17,354,1.13E-98,334
OsLncORF02294,eggNOG,KOG0582,0.326,417,216,6,15,429,1491,1844,5.88E-105,355
OsLncORF02294,NR,XP_015629150.1,1,554,0,0,1,554,1,554,0.00E+00,1107
OsLncORF02294,Pfam-A,PF00069.30,0.159,369,267,6,53,420,188,514,2.61E-37,149
OsLncORF02294,Pfam-B,Pfam-B_121028,0.406,251,122,7,326,554,1,246,6.49E-85,295
OsLncORF02294,Pfam-B,Pfam-B_176389,0.204,142,101,5,48,180,383,521,1.06E-06,54
OsLncORF02294,Swiss-Prot,O23304,0.505,503,190,12,41,521,8,473,2.83E-131,432
OsLncORF02296,NR,AAO72403.1,1,77,0,0,1,77,458,534,3.25E-39,150
OsLncORF02296,Pfam-B,Pfam-B_121028,0.481,83,37,2,1,77,164,246,1.32E-28,109
OsLncORF02308,NR,KAF2940642.1,1,65,0,0,1,65,1,65,4.10E-34,135
OsLncORF02325,NR,KAF2940725.1,1,101,0,0,1,101,1,101,1.68E-61,216
OsLncORF02326,NR,KAF2940725.1,1,25,0,0,1,25,77,101,2.00E-08,59
OsLncORF02338,NR,KAF2940747.1,1,29,0,0,1,29,1,29,2.46E-12,70
OsLncORF02339,NR,KAF2940746.1,1,24,0,0,1,24,1,24,7.65E-07,55
OsLncORF02357,NR,GMD83654.1,0.717,39,11,0,1,39,39,77,4.39E-08,59
OsLncORF02450,NR,CCE05035.1,0.527,74,34,1,1,74,44,116,5.44E-05,52
OsLncORF02452,eggNOG,2R5BN,0.786,61,13,0,1,61,44,104,7.97E-35,127
OsLncORF02452,NR,KAF8657208.1,1,61,0,0,1,61,1,61,2.39E-30,124
OsLncORF02453,NR,PIN14885.1,0.8,35,7,0,2,36,36,70,4.67E-10,66
OsLncORF02474,NR,KAF2941616.1,1,49,0,0,1,49,1,49,3.81E-24,105
OsLncORF02518,CDD,pfam12734,0.454,33,18,0,28,60,11,43,3.58E-06,43
OsLncORF02518,eggNOG,2S5E9,0.885,70,4,2,1,69,114,180,4.82E-36,131
OsLncORF02518,NR,AAO72387.1,1,69,0,0,1,69,1,69,8.41E-40,151
OsLncORF02518,Pfam-A,PF12734.12,0.166,54,45,0,9,62,44,97,9.72E-08,46
OsLncORF02518,Swiss-Prot,Q8LG30,0.666,75,14,3,1,66,1,73,2.06E-22,93
OsLncORF02530,NR,KAF2941992.1,1,46,0,0,1,46,33,78,5.66E-15,79
OsLncORF02549,NR,KAF2942060.1,1,79,0,0,1,79,1,79,3.92E-40,153
OsLncORF02562,NR,KAF2942260.1,1,102,0,0,1,102,1,102,8.22E-57,202
OsLncORF02570,CDD,cd11072,0.461,180,94,1,1,180,252,428,1.01E-81,267
OsLncORF02570,eggNOG,KOG2829,0,184,182,1,1,184,1888,2069,7.41E-47,169
OsLncORF02570,NR,XP_015631141.1,1,190,0,0,1,190,338,527,1.79E-121,394
OsLncORF02570,Pfam-A,PF00067.27,0.198,156,120,3,1,156,562,712,1.99E-34,129
OsLncORF02570,Swiss-Prot,O48958,0.647,187,64,1,1,187,341,525,5.11E-78,259
OsLncORF02572,NR,KAF2942362.1,1,40,0,0,1,40,50,89,6.09E-20,93
OsLncORF02573,NR,KAF2942365.1,1,65,0,0,1,65,25,89,7.28E-37,143
OsLncORF02598,NR,KAF2932650.1,1,116,0,0,1,116,1,116,2.04E-69,239
OsLncORF02600,NR,KAF2932652.1,1,66,0,0,1,66,1,66,5.00E-32,129
OsLncORF02618,NR,BAD21702.1,0.909,22,2,0,1,22,1,22,1.74E-04,47
OsLncORF02628,NR,EEE54637.1,0.967,31,1,0,24,54,43,73,1.37E-06,55
OsLncORF02646,NR,KAF2932867.1,0.99,108,1,0,2,109,35,142,1.21E-67,234
OsLncORF02647,NR,KAF2932867.1,1,82,0,0,1,82,61,142,1.73E-47,174
OsLncORF02649,NR,KAF2932867.1,1,63,0,0,1,63,80,142,2.14E-35,138
OsLncORF02655,NR,KAF2932905.1,1,63,0,0,1,63,25,87,1.14E-35,139
OsLncORF02657,NR,KAF2932905.1,1,25,0,0,1,25,25,49,4.92E-09,61
OsLncORF02662,NR,CAD40128.3,1,81,0,0,1,81,1,81,2.99E-43,162
OsLncORF02668,NR,KAB8108166.1,0.838,31,5,0,2,32,82,112,9.56E-07,55
OsLncORF02674,NR,BAB64746.1,0.897,39,4,0,1,39,154,192,1.67E-15,80
OsLncORF02679,NR,BAH91613.1,0.888,45,5,0,3,47,8,52,8.29E-16,82
OsLncORF02699,NR,KAB8081513.1,0.906,32,3,0,1,32,52,83,2.78E-07,56
OsLncORF02734,NR,ABA96211.1,0.708,48,10,2,31,76,237,282,1.89E-06,56
OsLncORF02735,eggNOG,2QXI0,0,90,69,2,2,70,639,728,6.11E-07,48
OsLncORF02735,NR,ABA96211.1,0.714,84,7,2,2,70,170,251,8.98E-19,91
OsLncORF02736,NR,ABA96211.1,0.65,63,7,3,5,54,222,282,9.68E-08,59
OsLncORF02737,NR,KAF2933290.1,1,112,0,0,1,112,1,112,5.18E-64,224
OsLncORF02751,NR,BAS88528.1,0.8,40,8,0,10,49,87,126,1.37E-07,59
OsLncORF02779,NR,KAF2933373.1,0.888,27,3,0,16,42,54,80,9.77E-08,58
OsLncORF02799,NR,KAF2933399.1,1,45,0,0,1,45,38,82,6.78E-18,87
OsLncORF02808,NR,KAF2948579.1,0.7,50,10,2,1,46,1,49,2.97E-07,57
OsLncORF02895,NR,KAF2933557.1,1,117,0,0,1,117,1,117,7.97E-73,249
OsLncORF02897,NR,EEC68532.1,0.857,35,5,0,36,70,50,84,5.93E-08,60
OsLncORF02938,NR,KAI5673232.1,0.92,25,2,0,5,29,22,46,2.16E-05,50
OsLncORF02939,NR,GMD87874.1,0.75,28,7,0,9,36,158,185,1.60E-05,51
OsLncORF02985,NR,BAH92655.1,0.954,22,1,0,1,22,1,22,2.71E-05,50
OsLncORF02992,NR,KAF2933969.1,0.911,34,3,0,1,34,76,109,2.19E-11,68
OsLncORF03030,NR,EEC77300.1,0.942,35,2,0,1,35,1,35,2.27E-10,66
OsLncORF03032,NR,KAF2934060.1,0.9,50,5,0,1,50,1,50,1.34E-19,93
OsLncORF03095,NR,EEE61143.1,1,69,0,0,1,69,1,69,2.45E-33,133
OsLncORF03102,eggNOG,2SA69,0.951,82,4,0,1,82,249,330,4.38E-51,175
OsLncORF03102,NR,KAF6989745.1,0.987,82,1,0,1,82,1,82,3.08E-50,182
OsLncORF03102,Swiss-Prot,Q3BAI2,0.963,82,3,0,1,82,10,91,4.04E-52,179
OsLncORF03138,NR,CAE01624.3,1,52,0,0,1,52,1,52,2.57E-20,95
OsLncORF03194,NR,PUZ48482.1,0.729,37,6,1,1,33,1,37,1.41E-08,61
OsLncORF03203,NR,KAB8106404.1,0.743,39,10,0,1,39,96,134,2.68E-10,65
OsLncORF03204,NR,BAH95368.1,0.84,44,7,0,1,44,66,109,3.18E-13,74
OsLncORF03205,eggNOG,2R51K,0,50,50,0,1,50,101,150,4.07E-04,39
OsLncORF03260,NR,EEE67423.1,1,52,0,0,1,52,11,62,8.86E-26,110
OsLncORF03281,NR,RWV88843.1,0.636,66,24,0,49,114,19,84,2.02E-13,81
OsLncORF03281,Pfam-B,Pfam-B_009479,0,65,65,0,69,133,494,558,9.91E-20,89
OsLncORF03300,NR,KAB8097095.1,0.709,31,9,0,2,32,60,90,3.75E-04,48
OsLncORF03343,NR,EAY95973.1,1,68,0,0,1,68,1,68,5.34E-24,106
OsLncORF03390,NR,CAD6202945.1,0.574,54,15,2,5,53,193,243,6.12E-06,54
OsLncORF03399,eggNOG,2SP5D,0,34,34,0,1,34,1,34,1.24E-17,76
OsLncORF03399,NR,KAJ1682132.1,1,34,0,0,1,34,7,40,2.75E-14,76
OsLncORF03401,eggNOG,33CC6,0.833,36,6,0,1,36,3,38,2.19E-13,64
